Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_1,p6_removing_duplicates,0.0009162999922409,0.0010246280099846,0.0029616999672725,0.0010246280099846,0.0
10000,prompt_1,p6_removing_duplicates,0.0241135999094694,0.0308890382898388,0.117878200020641,0.0308890382898388,0.0
100000,prompt_1,p6_removing_duplicates,0.5368038000306115,0.8233452046504598,2.6332352000754327,0.6034155606905464,36.44745980833289
1000,prompt_2,p6_removing_duplicates,0.0009085000492632,0.0022919219911912,0.0100890001049265,0.0010246280099846,123.68332398268589
10000,prompt_2,p6_removing_duplicates,0.0241691999835893,0.0373232963499496,0.0867468999931588,0.0308890382898388,20.830231099255055
100000,prompt_2,p6_removing_duplicates,0.5407593999989331,0.6449893595801666,0.9468157000374048,0.6034155606905464,6.889745906128658
1000,prompt_3,p6_removing_duplicates,0.0009086999343708,0.0020252984195597,0.0229425999568775,0.0010246280099846,97.66182456696063
10000,prompt_3,p6_removing_duplicates,0.0244965000310912,0.036583100749622,0.0767718000570312,0.0308890382898388,18.433925997807144
100000,prompt_3,p6_removing_duplicates,0.5431683999486268,0.6347787632501801,0.8814764999551699,0.6034155606905464,5.197612491753087
1000,prompt_4,p6_removing_duplicates,0.000915199983865,0.0015276374301174,0.0091837999643757,0.0010246280099846,49.09190606065513
10000,prompt_4,p6_removing_duplicates,0.0282865000190213,0.0342417922100517,0.101413800031878,0.0308890382898388,10.854186811364128
100000,prompt_4,p6_removing_duplicates,0.540642699925229,0.6034155606905464,1.0067503000609577,0.6034155606905464,0.0
1000,prompt_5,p6_removing_duplicates,0.0009241999359801,0.0040029324849389,0.0167053999612107,0.0010246280099846,290.6717799954603
10000,prompt_5,p6_removing_duplicates,0.0251488999929279,0.0498643434034058,0.1493235999951139,0.0308890382898388,61.43054677040263
100000,prompt_5,p6_removing_duplicates,0.5455160000128672,0.7693758768386403,1.464768899953924,0.6034155606905464,27.503486313506663
1000,prompt_6,p6_removing_duplicates,0.0009157999884337,0.004440327300058,0.0109591999789699,0.0010246280099846,333.3599371468224
10000,prompt_6,p6_removing_duplicates,0.0289352999534457,0.05182717835825,0.1311458999989554,0.0308890382898388,67.78501768797047
100000,prompt_6,p6_removing_duplicates,0.5496697999769822,0.772625409585141,1.0694307000376284,0.6034155606905464,28.04200950683996
