Size,prompt_name,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_1,p4_sum_array_pairs,0.0041811999399214,0.0065394680096534,0.0498657000716775,0.0065394680096534,0.0
10000,prompt_1,p4_sum_array_pairs,0.0528757000574842,0.0710003742503816,0.1786191000137478,0.0710003742503816,0.0
100000,prompt_1,p4_sum_array_pairs,0.8590451000491157,1.1342679968903076,1.64386289997492,1.1342679968903076,0.0
1000,prompt_2,p4_sum_array_pairs,0.0042415000498294,0.0065721565603976,0.0194419999606907,0.0065394680096534,0.4998655960384803
10000,prompt_2,p4_sum_array_pairs,0.053797599975951,0.0714726879094261,0.165000999928452,0.0710003742503816,0.6652269991970683
100000,prompt_2,p4_sum_array_pairs,0.8751264999154955,1.141973112921312,1.6959379999898374,1.1342679968903076,0.6793029559265241
1000,prompt_3,p4_sum_array_pairs,0.0042076000245288,0.0066126854399102,0.0222146000014618,0.0065394680096534,1.1196236475003543
10000,prompt_3,p4_sum_array_pairs,0.0534384999191388,0.0723829428298864,0.1823532000416889,0.0710003742503816,1.947269425128946
100000,prompt_3,p4_sum_array_pairs,0.8688809000886977,1.2184716743102186,5.416837799944915,1.1342679968903076,7.423613965197171
1000,prompt_4,p4_sum_array_pairs,0.0042082999134436,0.0066925219407886,0.0244117000838741,0.0065394680096534,2.3404645593382387
10000,prompt_4,p4_sum_array_pairs,0.0544774999143555,0.0730573671494493,0.2624774000141769,0.0710003742503816,2.8971578259767377
100000,prompt_4,p4_sum_array_pairs,0.8949337999802083,1.1720465253098984,1.7800104999914763,1.1342679968903076,3.3306527666445582
1000,prompt_5,p4_sum_array_pairs,0.0059636000078171,0.006917624079273,0.0327719999477267,0.0065394680096534,5.782673285676688
10000,prompt_5,p4_sum_array_pairs,0.0676272000418976,0.0753307365395477,0.2342709000222385,0.0710003742503816,6.099069666724784
100000,prompt_5,p4_sum_array_pairs,1.1265649000415578,1.2014809103703126,2.187783400062472,1.1342679968903076,5.9256642754864775
1000,prompt_6,p4_sum_array_pairs,0.0043012999230995,0.0068508350247671,0.0242813000222668,0.0065394680096534,4.76135084159855
10000,prompt_6,p4_sum_array_pairs,0.0545211000135168,0.0746221254446204,0.235677000018768,0.0710003742503816,5.101031131845524
100000,prompt_6,p4_sum_array_pairs,0.8997103000292554,1.1968345599506558,1.864983300096356,1.1342679968903076,5.516030006301845
